{'text': '[Applause]', 'start': 1.04, 'duration': 3.109}
{'text': '[Music]', 'start': 8.56, 'duration': 18.389}
{'text': 'w', 'start': 29.56, 'duration': 4.679}
{'text': 'welcome welcome welcome to Last Week', 'start': 31.08, 'duration': 5.319}
{'text': "Tonight I'm John Oliver thank you for", 'start': 34.239, 'duration': 4.0}
{'text': 'being with us just time for a quick', 'start': 36.399, 'duration': 4.48}
{'text': 'recap of the week on Friday you may have', 'start': 38.239, 'duration': 5.041}
{'text': 'felt a whiff of nostalgia in the air and', 'start': 40.879, 'duration': 5.721}
{'text': "I'm not talking about Ninja Turtles I'm", 'start': 43.28, 'duration': 6.72}
{'text': 'talking about this good morning the US', 'start': 46.6, 'duration': 5.84}
{'text': 'military is back in Iraq take a look at', 'start': 50.0, 'duration': 5.8}
{'text': 'these images from the US military fa8', 'start': 52.44, 'duration': 5.48}
{'text': 'fighter jets closing in on an Isis', 'start': 55.8, 'duration': 4.439}
{'text': 'artillery unit and then here here it', 'start': 57.92, 'duration': 5.959}
{'text': 'comes that massive explosion yes America', 'start': 60.239, 'duration': 6.121}
{'text': 'is bombing Iraq yet again and the world', 'start': 63.879, 'duration': 6.761}
{'text': 'is experiencing a little Deja boom uh', 'start': 66.36, 'duration': 6.119}
{'text': 'this time though it is strictly for', 'start': 70.64, 'duration': 3.839}
{'text': 'humanitarian reasons to prevent the', 'start': 72.479, 'duration': 4.121}
{'text': 'genocide of the yazidi people and when', 'start': 74.479, 'duration': 3.841}
{'text': 'he announced the air strikes the', 'start': 76.6, 'duration': 3.6}
{'text': 'president was anxious to make two things', 'start': 78.32, 'duration': 4.24}
{'text': 'clear one how this was the right thing', 'start': 80.2, 'duration': 5.599}
{'text': 'to do and two how little he wanted to do', 'start': 82.56, 'duration': 6.32}
{'text': 'it I know that many of you are rightly', 'start': 85.799, 'duration': 5.241}
{'text': 'concerned about any American military', 'start': 88.88, 'duration': 5.12}
{'text': 'action in Iraq even limited strikes like', 'start': 91.04, 'duration': 6.16}
{'text': 'these I understand that American combat', 'start': 94.0, 'duration': 5.52}
{'text': 'troops will not be returning to fight in', 'start': 97.2, 'duration': 4.279}
{'text': "Iraq I've got to say the president", 'start': 99.52, 'duration': 3.959}
{'text': 'sounds a lot like a girl who is trying', 'start': 101.479, 'duration': 3.881}
{'text': "to reassure her friends that she's not", 'start': 103.479, 'duration': 3.761}
{'text': 'getting back together with the', 'start': 105.36, 'duration': 4.64}
{'text': 'ex-boyfriend that they all hate look', 'start': 107.24, 'duration': 4.6}
{'text': "guys look guys I'm just getting a drink", 'start': 110.0, 'duration': 4.64}
{'text': "with Iraq okay he's having a really", 'start': 111.84, 'duration': 4.52}
{'text': 'tough time right now I will not be', 'start': 114.64, 'duration': 4.28}
{'text': 'returning back to his place although you', 'start': 116.36, 'duration': 4.6}
{'text': 'know what text me at 10:00 tonight and', 'start': 118.92, 'duration': 4.199}
{'text': 'remind me that he was a nightmare remind', 'start': 120.96, 'duration': 5.24}
{'text': "me of that that's good for me to hear it", 'start': 123.119, 'duration': 6.12}
{'text': 'in fact there was really only one theme', 'start': 126.2, 'duration': 4.96}
{'text': 'that most people took away from the', 'start': 129.239, 'duration': 4.681}
{'text': 'speech a very reluctant President Obama', 'start': 131.16, 'duration': 4.719}
{'text': 'gave the order for air strikes in Iraq', 'start': 133.92, 'duration': 3.92}
{'text': 'last night President Obama has been uh', 'start': 135.879, 'duration': 3.44}
{'text': 'reluctant to say the least he was', 'start': 137.84, 'duration': 4.039}
{'text': 'reluctant to get in and take action here', 'start': 139.319, 'duration': 5.121}
{'text': 'he seemed very reluctant to do this', 'start': 141.879, 'duration': 6.321}
{'text': 'extremely reluctant oh yes reluctance', 'start': 144.44, 'duration': 5.6}
{'text': "it's always been the best tone for", 'start': 148.2, 'duration': 4.0}
{'text': 'leaders to use when inspiring troops', 'start': 150.04, 'duration': 3.0}
{'text': 'before', 'start': 152.2, 'duration': 4.0}
{'text': "battle who can forget Henry V's Immortal", 'start': 153.04, 'duration': 5.36}
{'text': 'words once more into the breach dear', 'start': 156.2, 'duration': 4.88}
{'text': 'friends unfortunately because uh', 'start': 158.4, 'duration': 4.96}
{'text': 'obviously everyone would prefer not to', 'start': 161.08, 'duration': 5.159}
{'text': 'go into the breach no even by breach', 'start': 163.36, 'duration': 5.519}
{'text': 'standards this breach is ghastly look', 'start': 166.239, 'duration': 4.161}
{'text': "look we all hate breaches but we're", 'start': 168.879, 'duration': 3.401}
{'text': "going into this one we don't have to", 'start': 170.4, 'duration': 3.64}
{'text': 'like it we just have to get this', 'start': 172.28, 'duration': 5.28}
{'text': "over with who's with me charge charge", 'start': 174.04, 'duration': 7.8}
{'text': 'charge I charge I', 'start': 177.56, 'duration': 4.28}
{'text': 'turning now though to an even more', 'start': 182.599, 'duration': 5.081}
{'text': 'Lawless territory than Iraq the internet', 'start': 184.72, 'duration': 5.4}
{'text': 'uh there was news this week that may', 'start': 187.68, 'duration': 5.6}
{'text': 'affect a huge number of people on earth', 'start': 190.12, 'duration': 5.36}
{'text': 'a report this morning claims a Russian', 'start': 193.28, 'duration': 5.319}
{'text': 'gang is holding a massive list of stolen', 'start': 195.48, 'duration': 5.44}
{'text': 'online records according to a Milwaukee', 'start': 198.599, 'duration': 4.241}
{'text': 'company called hold security the thieves', 'start': 200.92, 'duration': 3.0}
{'text': 'stole', 'start': 202.84, 'duration': 4.24}
{'text': '1.2 billion usernames and', 'start': 203.92, 'duration': 5.44}
{'text': 'passwords okay okay that is clearly', 'start': 207.08, 'duration': 4.92}
{'text': 'worried but on the bright side that is', 'start': 209.36, 'duration': 5.68}
{'text': 'also the least threatening Russian gang', 'start': 212.0, 'duration': 6.04}
{'text': 'ever give us what we want or demitry', 'start': 215.04, 'duration': 5.72}
{'text': 'here will poke your ex-girlfriend on', 'start': 218.04, 'duration': 6.6}
{'text': 'fastbook you will do it the the truly', 'start': 220.76, 'duration': 5.72}
{'text': 'the truly terrifying part of this story', 'start': 224.64, 'duration': 4.36}
{'text': "is not just the scale of this theft it's", 'start': 226.48, 'duration': 5.479}
{'text': 'what the solution might have to be assum', 'start': 229.0, 'duration': 4.36}
{'text': "that every password that you've got is", 'start': 231.959, 'duration': 2.521}
{'text': 'no longer safe and you should go through', 'start': 233.36, 'duration': 2.879}
{'text': 'and change them all just to underline', 'start': 234.48, 'duration': 4.08}
{'text': 'that everybody should go and change', 'start': 236.239, 'duration': 5.84}
{'text': 'their password yeah I get that I I get', 'start': 238.56, 'duration': 5.319}
{'text': 'that I should definitely change my', 'start': 242.079, 'duration': 4.08}
{'text': "password the problem is I'm not going to", 'start': 243.879, 'duration': 6.601}
{'text': 'do that uh because that sounds hard even', 'start': 246.159, 'duration': 7.481}
